濛	水草丶
幡	丨乛丿丶
蘩	草丿一
璠	未知
矾	一丿丿乛
畈	丨乛丿丿
燔	丶丿丿丶
钒	金丿乛
氾	未知
蹯	口丨丿丶
墦	未知
放	丶一丿一
房	丶乛丶一
防	乛丨丶一
方	丶一乛丿
仿	人丶一乛
芳	草丶一
访	丶乛丶一
妨	乛丿丶一
坊	土丶一
纺	乛乛丶一
肪	月丶一乛
舫	丿丿丶一
枋	木丶一乛
昉	未知
鲂	丿乛丶一
邡	丶一乛丨
钫	金丶一
牥	未知
蚄	未知
飞	乛丿丶丶
非	丨一丨一
费	乛一贝
菲	草丨一
废	丶一乛丿
妃	乛丿乛一
肥	月乛丨一
啡	口丨一一
匪	一丨一一
沸	水乛一乛
肺	月一丨乛
绯	乛乛丨一
斐	丨一丶一
霏	一丶丨一
翡	丨一乛丶
扉	丶乛丨一
吠	口一丿丶
诽	丶乛丨一
蜚	丨一丨乛
狒	丿乛乛一
腓	月丨一一
悱	丶丶丨一
淝	水月乛丨
芾	草一丨
痱	丶一丨一
榧	木一丨一
鲱	丿乛丨一
篚	丿一一丨
朏	未知
棐	未知
镄	金乛一
剕	未知
分	丿丶乛丿
份	人丿丶乛
纷	乛乛丿丶
奋	一丿丨乛
愤	丶丶十
粉	丶丿丿丶
氛	丿一丿丶
吩	口丿丶乛
芬	草丿丶
焚	木一丶丿
坟	土丶一
忿	丿丶丶乛
粪	丶丿一丨
汾	水丿丶乛
酚	一丨丿丶
棼	木一丿丶
偾	人十一
鲼	丿乛十
棻	草木木
鼢	丿丨丿丶
翂	未知
瀵	水丶丿一
坋	未知
豮	未知
风	丿乛丿丶
封	土一丨
凤	丿乛乛丶
峰	丨乛丿乛
疯	丶一丿乛
锋	金丿乛
枫	木丿乛丿
丰	一一一丨
奉	一一一一
冯	丶一乛乛
缝	乛乛丿乛
逢	丿乛丶乛
讽	丶乛丿乛
蜂	丨乛丿乛
烽	丶丿丿乛
俸	人一一一
沣	水一一一
沨	未知
酆	一一乛丨
葑	草土
唪	口一一一
砜	一丿丿乛
赗	未知
浲	未知
崶	未知
否	一丿口口
缶	丿一一丨
服	月乛丨乛
夫	一一丿丶
父	丿丶丿丶
复	丿一日
福	丶乛一口
府	丶一人一
副	一丨丨丨
负	丿乛贝
付	人一丨丶
富	丶丶一口
妇	乛丿乛一
附	乛丨人一
伏	人一丿丶
傅	人一丨乛
浮	水丿丶丶
扶	手一一
抚	手一一
符	丿一人一
肤	月一一丿
腹	月丿一
幅	丨乛一口
咐	口人一丨
覆	一丨丿丿
腐	丶一丨乛
弗	乛一乛丿
赴	土丨丶
斧	丿丶丿丿
俯	人丶一丿
赋	贝一一
辅	一乛一丨
芙	草一一
拂	手乛一
甫	一丨乛一
俘	人丿丶丶
缚	乛乛一丨
蝠	丨乛一口
敷	一丨丿一
脯	月一丨乛
袱	丶乛人一
腑	月丶一丿
辐	一乛一口
孚	丿丶乛丨
驸	乛乛人一
釜	丿丶一一
苻	草人一
匐	丿乛一口
宓	丶丶丶乛
阜	丿丨十
孵	丿乛丿丶
馥	丿一丿一
茀	未知
涪	水丶一丶
茯	草人一
凫	丿乛丿乛
蚨	丨乛一一
拊	手人一
蝮	丨乛丿一
讣	丶乛丨丶
黼	丨丨一丨
趺	口丨一一
怫	丶丶乛一
氟	丿一乛一
蜉	丨乛丿丶
黻	丨丨一丿
麸	一一一一
绂	乛乛一丿
跗	口丨人一
鲋	丿乛人一
罘	丨乛一丿
滏	水丿丶丿
郛	丿丶乛丨
菔	草月乛
桴	木丿丶丶
幞	丨乛丨丨
祓	丶乛一丿
呋	口一一丿
绋	乛乛乛一
莩	草丿丶
赙	贝一丨
鄜	未知
芣	未知
洑	未知
簠	未知
榑	未知
稃	丿一丿丶
韨	未知
玞	未知
砆	未知
垺	未知
㕮	未知
㳇	未知
琈	未知
尬	一丿人丿
嘎	口一丿丨
伽	人乛丿口
噶	口草
旮	丿乛日
咖	口乛丿口
尕	乛丿丨丿
尜	丨丿一丿
轧	一乛乛乛
钆	金乛乛
戛	一丿一乛
该	丶乛丶一
改	乛一丿一
盖	丶丿丨乛
概	木乛一一
丐	一丨一乛
钙	金一丨
溉	水乛一一
赅	贝丶一
垓	土丶一
陔	乛丨丶一
戤	乛丿一乛
荄	未知
晐	未知
感	一丿丶乛
干	一一丨丨
敢	乛一丿一
赶	土一一
甘	一丨丨一
尴	一丿丨丨
杆	木一一丨
肝	月一一丨
竿	丿一一一
橄	木乛一丨
赣	丶一丿乛
秆	丿一一一
柑	木一丨丨
擀	手十
玕	未知
淦	水金金
泔	水一丨丨
矸	一丿一一
坩	土一丨
绀	乛乛一丨
苷	草一丨
旰	日一一
疳	丶一一丨
酐	一丨一一
澉	水乛一丨
虷	未知
鳡	丿乛一丿
㽏	未知
刚	丨乛丨丨
港	水一丨丨
钢	金丨乛
岗	丨乛丨乛
冈	丨乛丿丶
缸	丿一一丨
纲	乛乛丨乛
罡	丨乛一丨
杠	木一丨一
肛	月一丨一
筻	丿一一丨
冮	未知
矼	未知
堽	未知
戆	丶一丶乛
扛	手一丨
㭎	未知
高	丶一口丨
告	丿一口口
搞	手丶一
糕	丶丿丶丿
稿	丿一丶一
膏	丶一月月
羔	丶丿丶丶
皋	丿丨一丿
镐	金丶一
睾	丿丨土
篙	丿一丶一
诰	丶乛丿一
槁	木丶一口
杲	日木木
缟	乛乛丶一
锆	金丿一
郜	丿一乛丨
藁	草丶一
槔	木丿丨乛
筶	未知
个	人丨丨
哥	一丶一丶
各	丿乛口口
格	木丿乛丶
歌	一丶丿乛
革	一丨丨乛
隔	乛丨一口
阁	丶丨丿乛
葛	草日
割	丶丶丨丨
胳	月丿乛丶
戈	一乛丿丶
搁	手丶丨
鸽	人一丿乛
疙	丶一丿一
骼	丨乛丿乛
嗝	口一口丨
硌	一丿丿乛
咯	口丿乛丶
铬	金丿乛
鬲	一口丨乛
圪	土丿一
蛤	丨乛人一
舸	丿丿一口
膈	月一口丨
虼	丨乛丿一
袼	丶乛丿乛
哿	乛丿一口
镉	金一口
仡	人丿一乛
饹	丿乛丿乛
塥	土一口
滆	未知
合	人一口口
给	乛乛人一
跟	口丨乛一
根	木乛一一
亘	一日一
艮	乛一一乛
哏	口乛一一
茛	草乛一
更	一丨乛一
耿	一丨丶丿
哽	口一丨乛
耕	一一一一
畊	丨乛一一
羹	丶丿丶丿
庚	丶一乛一
梗	木一丨乛
赓	丶一贝
埂	土一丨
鲠	丿乛一丨
绠	乛乛一丨
浭	未知
暅	未知
颈	乛丶一丿
鹒	未知
公	丿丶乛丶
工	一丨一一
功	一丨乛丿
攻	一丨丿一
宫	丶丶口口
共	一丨丿丶
供	人一丨丨
恭	一丨丨丶
弓	乛一乛乛
贡	一丨贝
躬	丿丨乛一
拱	手一丨
龚	一丿一丨
巩	一丨丿乛
蚣	丨乛丿丶
觥	丿乛丨丶
汞	一丨水水
肱	月一丿乛
珙	一一一丨
䢼	未知
硔	未知
够	丿乛丿乛
狗	丿乛丿乛
构	木丿乛乛
勾	丿乛乛丶
购	贝丿乛
沟	水丿乛乛
钩	金丿乛
苟	草丿乛
垢	土丿丿
篝	丿一一一
佝	人丿乛口
媾	乛丿一一
枸	木丿乛口
诟	丶乛丿丿
彀	士丿乛
缑	乛乛人乛
遘	一一丶乛
鞲	一丨一一
笱	丿一丿乛
觏	一一丨乛
岣	丨乛丿乛
姤	未知
雊	未知
耇	未知
句	丿乛口口
古	十口口
故	十丿一
顾	一丿一丿
股	月丿乛乛
姑	乛丿十
骨	丨乛月月
孤	乛丨丿丿
谷	丿丶口口
鼓	士十
固	丨乛十
估	人十口
咕	口十口
辜	十丶一
雇	丶乛人丶
蛊	丨乛丨乛
菇	草乛丿
汩	水日日
箍	丿一手
锢	金丨乛
沽	水十口
贾	一丨贝
鹘	丨乛丿乛
臌	月士口
牯	丿一十
轱	一乛十
鸪	十丿乛
梏	木丿一丨
痼	丶一丨乛
钴	金十
毂	士丿乛
崮	丨乛丨乛
诂	丶乛十
瞽	士丨乛
菰	草乛丨
蛄	丨乛十
羖	未知
觚	丿乛丿丿
嘏	十乛一
罟	丨乛十
榖	土丶丿乛
酤	一丨十
馉	丿乛丨乛
牿	丿一丿一
堌	未知
蓇	未知
鲴	丿乛丨乛
呱	口丿丿乛
鹄	丿一丿乛
瀔	未知
挂	手土
瓜	丿丿乛丶
刮	丿一丨丨
寡	丶丶一丿
卦	土丨丶
褂	丶乛土
剐	口丨丨丨
鸹	丿一丿乛
诖	丶乛土
栝	木丿一丨
胍	月丿丿乛
怪	丶丶乛丶
乖	丿一丨一
拐	手口乛
掴	手丨乛
夬	未知
关	丶丿一一
管	丿一丶丶
官	丶丶丨乛
观	乛丶丨乛
馆	丿乛丶丶
惯	丶丶乛乛
冠	丶乛一一
贯	乛乛贝
灌	水草口
罐	丿一草
棺	木丶丶乛
倌	人丶丶乛
盥	丿丨丨乛
掼	手乛乛
涫	水丶丶乛
鳏	丿乛丨乛
鹳	草丿乛
瓘	一一草
祼	未知
琯	未知
毌	乛乛一丨
筦	未知
蒄	未知
爟	未知
纶	乛乛人丿
莞	草丶丶
鳤	丿乛丿一
光	丨丶丿乛
广	丶一丿丿
逛	丿乛丶乛
咣	口丨丶丿
犷	丿乛丶一
胱	月丨丶丿
桄	木丨丶丿
洸	未知
珖	未知
垙	未知
鬼	丿丨乛丶
贵	丨乛贝
规	一一丨乛
归	丨丿乛一
跪	口丨丿乛
柜	木一乛一
诡	丶乛丿乛
瑰	一一丿丨
桂	木土
龟	丿乛丨乛
轨	一乛丿乛
闺	丶丨土
圭	土土
桧	木人一一
刽	人一丨丨
癸	乛丶一一
硅	一丿土
妫	乛丿丶丿
珪	一一土
皈	丿丨丿丿
晷	日丿乛
鲑	丿乛土
刿	丨乛丨丨
鳜	丿乛一丿
姽	未知
簋	丿一乛一
庋	丶一十
宄	丶丶丿乛
匦	一一乛丨
邽	土乛丨
鬶	未知
炅	日丶丿
筀	未知
滚	水丶一丿
棍	木日一
衮	丶一丿丶
鲧	丿乛丿乛
磙	一丿丶一
辊	一乛日
绲	乛乛日
过	一丨丶乛
国	丨乛一一
果	丨乛一一
郭	丶一乛丨
锅	金口丨
裹	丶一丨乛
蝈	丨乛丨乛
聒	一丨丿一
帼	丨乛丨乛
椁	木丶一口
虢	丿丶丨一
埚	土口丨
呙	口丨乛丿
崞	丨乛丶一
腘	未知
馘	丶丿一口
粿	未知
蜾	丨乛丨乛
馃	丿乛丨乛
涡	水口丨乛
哈	口人一口
铪	金人一
还	一丿丶乛
海	水丿一乛
孩	乛丨丶一
害	丶丶一一
骇	乛乛丶一
嗨	口水丿一
骸	丨乛丶一
亥	丶一乛丿
咳	口丶一乛
嗐	未知
氦	丿一丶一
醢	一丨一丿
胲	月丶一乛
咍	未知
汉	水乛丶丶
寒	丶丶丶丶
喊	口一丿乛
韩	十一一
汗	水一一丨
含	人丶口口
涵	水乛丨丶
翰	十人乛
憾	丶丶一丿
罕	丶乛一一
撼	手一丿
悍	丶丶日
瀚	水十丨
函	乛丨乛丨
憨	乛一丶乛
旱	日一一
酣	一丨一丨
颔	人丶一丿
邯	一丨乛丨
捍	手日
鼾	丿丨一一
晗	日人丶
菡	草乛丨
焊	丶丿日
顸	一一一丿
邗	一一乛丨
焓	丶丿人丶
蚶	丨乛一丨
扞	未知
撖	手乛一
暵	未知
浛	未知
琀	未知
㘎	未知
垾	未知
崡	未知
嵅	未知
蔊	未知
行	丿丿一一
航	丿丿丶一
杭	木丶一丿
沆	水丶一丿
颃	丶一一丿
绗	乛乛丿丿
吭	口丶一丿
巷	一丨乛一
好	乛丿乛丨
号	口一乛乛
毫	丶一丿一
豪	丶一一丿
浩	水丿一丨
耗	一一丿一
昊	日一一
郝	土乛丨
嚎	口丶一丨
皓	丿丨丿一
壕	土丶一
嗥	口丿丨乛
颢	日一丿
濠	水丶一丨
蒿	草丶一
灏	水日丶
貉	丿丶丿乛
蚝	丨乛丿一
薅	草乛丿
皞	未知
淏	未知
嚆	口草丶
鄗	未知
和	丿一口口
何	人一口丨
喝	口日丿
呵	口一口丨
河	水一口丨
赫	土土
核	木丶一乛
贺	乛丿贝
盒	人一丨乛
荷	草人一
鹤	丶乛丿乛
禾	丿一丨丿
褐	丶乛日
嗬	口草人
壑	丨一土
阖	丶丨土
吓	口一丨丶
涸	水丨乛一
劾	丶一乛丿
颌	人一一丿
阂	丶丨丶一
诃	丶乛一口
郃	未知
纥	乛乛丿一
龢	未知
鞨	未知
翮	一丶乛丶
曷	日丿乛
龁	未知
盍	土丨乛
菏	草水一
盉	未知
饸	丿乛人一
熇	未知
鹖	未知
翯	未知
垎	未知
隺	未知
黑	丨乛丶丶
嘿	口丨乛丶
很	丿丿乛一
狠	丿乛乛一
恨	丶丶乛一
痕	丶一乛一
哼	口丶一口
横	木一丨丨
衡	丿丿丿乛
恒	丶丶一
亨	丶一口乛
蘅	草丿丿
珩	一一丿丿
姮	乛丿一
桁	木丿丿丨
鸻	丿丿丿乛
堼	未知
红	乛乛一丨
轰	一乛乛丶
洪	水一丨丨
虹	丨乛一丨
宏	丶丶一丿
鸿	水一丨一
哄	口一丨丨
弘	乛一乛丶
烘	丶丿一丨
泓	水乛一乛
闳	丶丨一丿
讧	丶乛一丨
薨	草丨乛
訇	丿乛丶一
荭	草乛乛
纮	乛乛一丿
吽	未知
竑	未知
蕻	草一丨
翃	未知
黉	丶丶一丨
唝	未知
玒	未知
谼	未知
后	丿丿口口
候	人丨乛一
厚	一丿日
吼	口乛丨一
侯	人乛一丿
猴	丿乛人乛
喉	口人乛一
逅	丿丿丶乛
篌	丿一人乛
瘊	丶一人乛
鲎	丶丶丿乛
堠	土人乛
垕	未知
齁	未知
骺	丨乛丿丿
糇	丶丿人乛
郈	未知
鲘	丿乛丿丿
乎	丿丶丿一
呼	口丿丶丿
忽	丿乛丶乛
护	手丶乛
胡	十月月
虎	丨一丿乛
湖	水十丨
糊	丶丿十
户	丶乛一丿
互	一乛乛一
狐	丿乛丿丿
壶	士丨丨
蝴	丨乛十
惚	丶丶丿乛
弧	乛一丿丿
唬	口丨一乛
葫	草十
沪	水丶乛一
扈	丶乛口乛
瑚	一一十
琥	一一丨一
浒	水丶乛丿
斛	丿乛丶丶
囫	丨乛丿乛
祜	丶乛十
醐	一丨十
唿	口丿乛丿
猢	丿乛十
笏	丿一丿乛
瓠	一丿丿丿
槲	木丿乛丿
怙	丶丶十
煳	丶丿十
鹕	十丿乛
滹	水丨一乛
觳	士丿乛
岵	丨乛十
烀	丶丿丿丶
鄠	一丶乛丨
戽	丶乛丶丶
縠	士丿乛
冱	丶一一乛
鹱	丿乛草
淴	水丿乛丿
昒	日丿乛
鳠	丿乛草
嫭	乛丿丨一
轷	一乛丿丶
昈	日丶乛
话	丶乛丿一
花	草人丿
化	人丿乛乛
华	人丿十
划	一乛丨丨
画	一丨乛一
滑	水丨乛乛
哗	口人丿
猾	丿乛丨乛
桦	木人丿
骅	乛乛人丿
婳	乛丿一丨
铧	金人丿
砉	一一一丿
觟	未知
坏	土一丿
怀	丶丶一丿
淮	水人丶一
槐	木丿丨乛
徊	丿丿丨一
踝	口丨丨乛
换	手丿乛
缓	乛乛丿丶
环	一一一丿
幻	乛乛乛乛
唤	口丿乛丨
欢	乛丶丿乛
患	丨乛丶乛
焕	丶丿丿乛
桓	木一日
鬟	一丨丨乛
宦	丶丶一丨
寰	丶丶丨乛
浣	水丶丶乛
痪	丶一丿乛
涣	水丿乛丨
奂	丿乛丨乛
圜	丨乛丨乛
豢	丶丿一丿
獾	丿乛草
洹	水一日
嬛	乛丿丨乛
缳	乛乛丨乛
萑	草人丶
鲩	丿乛丶丶
郇	丿乛乛丨
漶	水丨乛一
逭	丶丶丶乛
擐	手丨乛
锾	金丿丶
镮	金丨乛
澴	未知
鹮	丨乛丿乛
貆	未知
峘	未知
㬊	未知
荁	未知
黄	一丨丨乛
皇	丿丨一一
晃	日丨丶
慌	丶丶草
荒	草丶一
恍	丶丶丨丶
谎	丶乛草
惶	丶丶丿丨
凰	丿乛丿丨
煌	丶丿丿丨
簧	丿一一丨
徨	丿丿丿丨
蝗	丨乛丿丨
幌	丨乛日
潢	水一丨丨
璜	一一一丨
遑	丿丨丶乛
磺	一丿一丨
隍	乛丨丿丨
肓	丶一月月
湟	水丿丨乛
蟥	丨乛一丨
篁	丿一丿丨
鳇	丿乛丿丨
滉	水日丨
喤	未知
癀	丶一一丨
锽	金丿丨
艎	未知
瑝	未知
媓	未知
㿠	未知
会	人一一乛
回	丨乛口口
挥	手丶乛
灰	一丿丶丿
慧	一一丶乛
辉	丨丶丶乛
恢	丶丶一丿
毁	丿丨丿乛
悔	丶丶丿一
惠	一丨丶乛
汇	水一乛乛
绘	乛乛人一
徽	丿丿丨乛
讳	丶乛一一
晖	日丶乛
晦	日丿一
贿	贝一丿
秽	丿一丨乛
卉	十一丿
麾	丶一丿一
诲	丶乛丿一
蕙	草一丨
彗	一一乛一
诙	丶乛一丿
喙	口乛乛一
荟	草人一
烩	丶丿人一
虺	一丿丨乛
蛔	丨乛丨乛
珲	一一丶乛
咴	口一丿丶
茴	草丨乛
恚	土丶乛
洄	水丨乛一
袆	未知
隳	乛丨人丨
翚	乛丶一乛
翙	未知
浍	水人一一
蟪	丨乛一丨
硊	未知
橞	未知
哕	口丨乛丨
溃	水丨乛一
㧑	未知
烠	未知
婚	乛丿丿乛
混	水日一
魂	一一丿丨
昏	丿乛日
浑	水丶乛一
荤	草一乛
馄	丿乛日
诨	丶乛丶乛
阍	丶丨丿乛
溷	水丨乛一
惛	未知
碈	未知
或	一口一乛
活	水丿一丨
火	丶丿人人
伙	人丶丿人
获	草丿乛
惑	一丶丶乛
货	人丿贝
祸	丶乛口丨
霍	一丶人丶
豁	丶丶丿丶
夥	丨乛丿乛
嚯	口一丶乛
藿	草一丶
镬	金草
蠖	丨乛草
攉	手一丶
钬	金丶丿
嚄	未知
锪	金丿乛
劐	草丨丨
濩	未知
耠	一一人一
漷	未知
㸌	未知
佸	未知
级	乛乛丿乛
集	人丶木木
几	丿乛乛
及	丿乛丶丶
机	木丿乛乛
记	丶乛乛一
季	丿一乛丨
击	一一丨乛
急	丿乛丶乛
鸡	乛丶丿乛
挤	手丶一
系	丿乛丨丿
即	乛一乛丨
既	乛一一乛
极	木丿乛丶
计	丶乛十
激	水丿丨乛
继	乛乛丶丿
基	一丨土
碁	一丨一丿
己	乛一乛乛
际	乛丨一一
纪	乛乛乛一
技	手十
济	水丶一丿
迹	丶一丶乛
吉	士口丶
积	丿一口丿
寂	丶丶丨一
疾	丶一丿一
忌	乛一丶乛
姬	乛丿一丨
绩	乛乛一一
祭	丿乛一一
肌	月丿乛乛
寄	丶丶一丿
辑	一乛口一
籍	丿一一一
圾	土丿乛
妓	乛丿十
嫉	乛丿丶一
饥	丿乛丿乛
剂	丶一丨丨
奇	一丿一口
脊	丶一月月
稽	丿一一丿
叽	口丿乛乛
唧	口乛一一
讥	丶乛丿乛
藉	草一一
冀	丨一丨乛
戟	十一乛
棘	一丨一丨
缉	乛乛口一
悸	丶丶丿一
羁	丨乛一丨
玑	一一丿乛
伎	人十乛
霁	一丶丶一
矶	一丿丿乛
髻	一丨士
稷	丿一丨乛
岌	丨乛丿乛
汲	水丿乛丶
畸	丨乛一丿
笈	丿一丿乛
觊	丨乛丨乛
骥	乛乛丨一
嵇	丿一一丿
蓟	草丿乛
箕	丿一一丨
佶	人士口
瘠	丶一丶一
畿	乛乛丨乛
犄	丿一一丿
亟	乛丨丨乛
跻	口丨丶一
殛	一丿乛丨
暨	乛一日
鲫	丿乛乛一
偈	人日丿
齑	丶一丨一
蒺	草丶一
芨	草丿乛
屐	乛一丿丿
荠	草丶一
楫	木口一丨
赍	十丨乛
乩	丨一乛乛
麂	丶一丿乛
笄	丿一一一
芰	草十
墼	一丨土
鹡	丶一丿乛
剞	一丿丨丨
戢	口一丨丨
虮	丨乛丿乛
伋	未知
垍	未知
掎	手一丿
洎	水丿丨乛
跽	口丨乛一
嵴	丨乛丶一
鲚	丿乛丶一
蕺	草口一
罽	未知
蹐	未知
姞	未知
漈	未知
穄	未知
耤	未知
觭	未知
惎	未知
期	一丨月月
鱾	丿乛乛一
㴔	未知
堲	未知
徛	未知
枅	未知
瀱	未知
家	丶丶一丿
加	乛丿口口
价	人人丿丨
假	人乛一丨
架	乛丿木木
甲	丨乛一一
佳	人土
夹	一丶丿一
嘉	士乛丿
嫁	乛丿丶丶
驾	乛丿乛乛
颊	一丶一丿
迦	乛丿丶乛
茄	草乛丿
稼	丿一丶丶
枷	木乛丿口
珈	一一乛丿
袈	乛丿丶一
葭	草乛一
浃	水一丶丿
胛	月丨乛一
痂	丶一乛丿
笳	丿一乛丿
岬	丨乛丨乛
槚	未知
钾	金丨乛
荚	草一丶
郏	一丶乛丨
铗	金一丶
跏	口丨乛丿
蛱	丨乛一丶
恝	一一丶乛
斝	未知
镓	金丶丶
瘕	丶一乛一
泇	未知
见	丨乛丿乛
间	丶丨日
剑	人一丨丨
件	人丿一一
建	乛一乛丶
键	金乛一
渐	水一乛丨
简	丿一丶丨
坚	丨丨土
肩	丶乛月月
箭	丿一丶丿
舰	丿丿丨乛
尖	丨丿一丿
监	丨丨丨乛
健	人乛一一
检	木人一丶
减	丶一一丿
奸	乛丿一一
艰	乛丶乛一
兼	丶丿一乛
鉴	丨丨金
贱	贝一一
捡	手人一
剪	丶丿乛丿
溅	水贝一
践	口丨一一
荐	草一丿
歼	一丿丿一
拣	手一乛
煎	丶丿丶丶
俭	人人一丶
涧	水丶丨乛
茧	草丨乛
谏	丶乛一丨
柬	一丨乛丶
笺	丿一一一
缄	乛乛一丿
戬	一丨一乛
锏	金丶丨
碱	一丿一丿
睑	丨乛人一
翦	丶丿乛丶
饯	丿乛一一
蹇	丶丶口丨
僭	人一乛丿
菅	草丶丶
毽	丿一乛一
腱	月乛一一
謇	丶丶丶一
蒹	草丶丿
戋	一一乛丿
槛	木丨丨丿
鞯	一丨草
笕	丿一丨乛
鹣	丶丿丿乛
搛	手丶丿
缣	乛乛丶丿
鞬	未知
湔	水丶丿一
裥	丶乛丶丨
枧	木丨乛丿
鲣	丿乛丨丨
趼	口丨一一
谫	丶乛丶丿
踺	口丨乛一
楗	木乛一一
暕	未知
牮	人一丿一
篯	未知
犍	丿一乛一
鳒	丿乛丶丿
将	丶一丿乛
江	水一丨一
讲	丶乛一一
降	乛丨丿乛
蒋	草丶一
奖	丶一一丿
僵	人一丨乛
姜	丶丿乛丿
疆	乛一一丨
匠	一丿丿一
浆	丶一水水
酱	丶一一丨
缰	乛乛一丨
绛	乛乛丿乛
桨	丶一木木
犟	乛一丿一
糨	丶丿乛一
豇	一丨一丨
茳	草水一
礓	一丿一丨
洚	水丿乛丶
耩	一一一一
膙	未知
鳉	丿乛丶一
弶	未知
强	乛一口丨
叫	口乛丨丨
教	十丿一
交	丶一丿丶
脚	月土乛
角	丿乛丿乛
较	一乛丶一
娇	乛丿丿一
焦	人丶丶丶
骄	乛乛丿一
轿	一乛丿一
搅	手丶丶
狡	丿乛丶一
郊	丶一乛丨
胶	月丶一丿
觉	丶丶丨乛
嚼	口丿丶丶
绞	乛乛丶一
剿	乛乛丨丨
浇	水一乛丿
缴	乛乛丿丨
蛟	丨乛丶一
椒	木丨一一
侥	人一乛丿
矫	丿一丿一
饺	丿乛丶一
蕉	草人丶
校	木丶一丿
礁	一丿人丶
皎	丿丨丶一
窖	丶丶丿一
跤	口丨丶一
佼	人丶一丿
姣	乛丿丶一
酵	一丨十
鲛	丿乛丶一
艽	草丿乛
湫	水丿一丨
醮	一丨人丶
铰	金丶一
峤	丨乛丿一
茭	草丶一
徼	丿丿丿丨
鹪	人丶丿乛
敫	丿丨丿一
噍	口人丶丶
僬	人人丶丶
峧	未知
滘	未知
燋	未知
藠	未知
皦	未知
斠	未知
璬	未知
皭	未知
恔	未知
䴔	未知
漖	未知
接	手丶一
解	丿乛乛丿
姐	乛丿丨乛
结	乛乛士
界	丨乛人丿
节	草乛丨
杰	木丶丶丶
街	丿丿土
借	人一丨丨
介	人丿丨丨
阶	乛丨人丿
洁	水士口
戒	一一丿丨
皆	一乛丿丨
劫	土乛丿
截	十人丶
捷	手一乛
揭	手日
竭	丶一日
届	乛一丨乛
婕	乛丿一乛
睫	丨乛一乛
诫	丶乛一一
桀	丿乛木木
芥	草人丿
桔	木士口
诘	丶乛士
颉	士一丿
嗟	口丶丿一
孑	乛丨一一
羯	丶丿日
拮	手士
秸	丿一士
玠	未知
碣	一丿日
讦	丶乛一一
疥	丶一人丿
喈	口一乛丿
蚧	丨乛人丿
疖	丶一乛丨
絜	一一乛乛
檞	木丿乛丿
劼	土乛丿
骱	丨乛人丿
鲒	丿乛士
褯	未知
湝	未知
岊	未知
楷	木一乛丿
㛃	未知
悈	丶丶一一
蜐	丨乛一丨
进	一一丶乛
今	人丶乛乛
金	金金
紧	丨丨乛乛
近	丿丿丶乛
尽	乛一丶丶
仅	人乛丶丶
禁	木一一一
劲	乛丶乛丿
锦	金丿丨
巾	丨乛丨丨
筋	丿一月乛
津	水乛一一
晋	一丨日
斤	丿丿一丨
谨	丶乛一丨
浸	水乛一一
襟	丶乛木一
矜	乛丶人丶
瑾	一一一丨
烬	丶丿乛一
靳	一丨丿丿
噤	口木一一
觐	一丨丨乛
妗	乛丿人丶
缙	乛乛一丨
堇	一丨丨乛
槿	木一丨丨
衿	丶乛人丶
荩	草乛一
馑	丿乛一丨
卺	乛丨乛乛
瑨	未知
廑	丶一一丨
琎	未知
赆	贝乛一
溍	未知
祲	未知
浕	未知
墐	未知
殣	未知
珒	未知
经	乛乛乛丶
惊	丶丶丶一
竟	丶一丿乛
静	一一丿乛
精	丶丿一一
睛	丨乛一一
警	草丶一
京	丶一口丨
境	土丶一
景	日丶一
敬	草丿一
镜	金丶一
晶	日日
净	丶一丿乛
径	丿丿乛丶
竞	丶一口丿
井	一一丿丨
靖	丶一一一
荆	草丨丨
菁	草一一
阱	乛丨一一
兢	十十
憬	丶丶日
婧	乛丿一一
鲸	丿乛丶一
茎	草乛丶
旌	丶一丿一
痉	丶一乛丶
泾	水乛丶一
迳	乛丶丶乛
璟	一一日丶
胫	月乛丶一
儆	人草丿
靓	一一丨乛
粳	丶丿一丨
獍	丿乛丶一
刭	乛丶丨丨
腈	月一一丨
肼	月一一丿
倞	人丶一
璥	一一草丿
麖	未知
鼱	丿丨一一
猄	未知
䴖	未知
汫	水一一
竫	丶一丿乛
囧	丨乛丿丶
炯	丶丿丨乛
窘	丶丶乛一
迥	丨乛丶乛
颎	未知
扃	丶乛丨乛
冏	丨乛丿丶
坰	土丨乛
泂	水丨乛
䌹	乛乛丨乛
就	丶一一丿
酒	水一丨乛
久	丿乛丶丶
九	丿乛乛
究	丶丶丿乛
救	一丨丿一
旧	丨日日
舅	丿丨丨乛
纠	乛乛乛丨
疚	丶一丿乛
揪	手丿一
咎	丿乛口口
鹫	丶一丿乛
鸠	丿乛丿乛
啾	口丿一丨
臼	丿丨一乛
灸	丿乛丶丿
赳	土乛丨
厩	一丿乛一
柩	木一丿乛
玖	一一丿乛
韭	丨一一一
阄	丶丨丿乛
僦	人丶一丨
鬏	一丨丿一
桕	木丿丨一
氿	水丿乛
㠇	未知
居	乛一十
举	丶丶一一
局	乛一乛口
巨	一乛一乛
具	丨乛丿丶
据	手乛一
聚	一丨丿丨
剧	乛一丨丨
距	口丨一乛
惧	丶丶丨乛
拒	手一乛
俱	人丨乛一
矩	丿一一乛
菊	草丿乛
拘	手丿乛
沮	水丨乛一
鞠	一丨丿乛
狙	丿乛丨乛
橘	木乛丶乛
驹	乛乛丿乛
飓	丿乛丨乛
锯	金乛一
